pool,model_reaction_id,reaction_uid,fallback_reason,orfs,model_equation
reference_only,r_1879,MODEL_RXN:0001322,fallback_equation,,s_0966 --> 
reference_only,r_1880,MODEL_RXN:0001323,fallback_equation,,s_0970 --> 
reference_only,r_1881,MODEL_RXN:0001324,fallback_equation,,s_0974 --> 
reference_only,r_1883,MODEL_RXN:0001326,fallback_equation,,s_0982 --> 
reference_only,r_1884,MODEL_RXN:0001327,fallback_equation,,s_0677 <=> s_0678
reference_only,r_1885,MODEL_RXN:0001328,fallback_equation,,s_0677 <=> s_0679
reference_only,r_1886,MODEL_RXN:0001329,fallback_equation,,s_0990 --> 
reference_only,r_1887,MODEL_RXN:0001330,fallback_equation,,s_0997 <=> s_0118 + s_0794 + s_0803
reference_only,r_1889,MODEL_RXN:0001331,fallback_equation,,s_0992 --> 
reference_only,r_1890,MODEL_RXN:0001332,fallback_equation,,s_0991 <=> s_0994
reference_only,r_1891,MODEL_RXN:0001333,fallback_equation,,s_1000 --> 
reference_only,r_1892,MODEL_RXN:0001334,fallback_equation,,s_0999 <=> s_1001
reference_only,r_1893,MODEL_RXN:0001335,fallback_equation,,s_1007 --> 
reference_only,r_1895,MODEL_RXN:0001336,fallback_equation,,s_1015 <=> s_1014
reference_only,r_1896,MODEL_RXN:0001337,fallback_equation,,s_1015 --> 
reference_only,r_1897,MODEL_RXN:0001338,fallback_equation,,s_1017 --> 
reference_only,r_1898,MODEL_RXN:0001339,fallback_equation,,s_1018 --> s_1016
reference_only,r_1899,MODEL_RXN:0001340,fallback_equation,,s_1022 --> 
reference_only,r_1900,MODEL_RXN:0001341,fallback_equation,,s_1026 --> 
reference_only,r_1901,MODEL_RXN:0001342,fallback_equation,,s_0067 <=> s_0066
reference_only,r_1902,MODEL_RXN:0001343,fallback_equation,,s_1030 --> 
reference_only,r_1903,MODEL_RXN:0001344,fallback_equation,,s_1033 --> 
reference_only,r_1904,MODEL_RXN:0001345,fallback_equation,,s_1036 --> 
reference_only,r_1905,MODEL_RXN:0001346,fallback_equation,,s_1035 <=> s_1037
reference_only,r_1906,MODEL_RXN:0001347,fallback_equation,,s_1041 --> 
reference_only,r_1909,MODEL_RXN:0001350,fallback_equation,,s_1044 --> 
reference_only,r_1911,MODEL_RXN:0001352,fallback_equation,,s_1046 --> 
reference_only,r_1912,MODEL_RXN:0001353,fallback_equation,,s_1049 --> 
reference_only,r_1913,MODEL_RXN:0001354,fallback_equation,,s_1052 --> 
reference_only,r_1914,MODEL_RXN:0001355,fallback_equation,,s_1057 --> 
reference_only,r_1915,MODEL_RXN:0001356,fallback_equation,,s_1061 --> 
reference_only,r_1916,MODEL_RXN:0001357,fallback_equation,,s_1067 --> 
reference_only,r_1930,MODEL_RXN:0001369,fallback_equation,,s_0069 + s_1271 <=> s_0066 + s_1274
reference_only,r_1931,MODEL_RXN:0001370,fallback_equation,,s_1106 --> 
reference_only,r_1932,MODEL_RXN:0001371,fallback_equation,,s_1107 <=> s_1108
reference_only,r_1936,MODEL_RXN:0001373,fallback_equation,,s_0629 --> s_1151 + s_1322
reference_only,r_1947,MODEL_RXN:0001384,fallback_equation,,s_1154 --> 
reference_only,r_1963,MODEL_RXN:0001386,fallback_equation,,s_1207 <=> s_1208
