model_reaction_id,reaction_name,model_equation,rxndb_id,rxndb_ec_number,enzyme_ec_numbers,pu_reference_likeness_score
rxn1230,rxn1230,s_0689 + s_1275 + sn_27 --> s_0687 + s_0794 + s_0803 + sn_12,rxn1230,2.4.1.10,1.14.14.154|1.14.14.17,0.9980426452616821
rxn2407,rxn2407,s_0764 + sn_71 --> s_0548 + s_0551,rxn2407,2.1.1.8,2.2.1.1|2.2.1.2|2.2.1.6,0.9980410423198037
rxn912,rxn912,s_1150 + sn_191 --> s_1029,rxn912,3.1.1.23,4.4.1.1|4.4.1.13|4.4.1.17|4.4.1.5,0.9980383414651196
rxn466,rxn466,s_0417 + s_0689 --> s_0683 + s_0687 + s_0794,rxn466,,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9980375892289145
rxn1422,rxn1422,s_0178 + s_0419 + sn_354 --> s_0803 + sn_121,rxn1422,3.4.13.23,4.4.1.1|4.4.1.13|4.4.1.17|4.4.1.5,0.9980367587089074
rxn1573,rxn1573,s_0803 + s_1424 --> s_0794 + s_1014 + sn_263,rxn1573,1.1.1.274;1.1.1.346,3.13.2.1,0.9980356307992596
rxn2668,rxn2668,s_0717 + 2 s_0794 + s_1271 --> s_0066 + s_0714,rxn2668,2.1.1.155;2.1.1.231,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9980332535819325
rxn983,rxn983,s_1203 + s_1275 + s_3800 --> s_0803 + s_1198 + s_3874,rxn983,6.3.2;6.3.2.-,1.14.11.-|1.14.13.-|1.14.13.9|1.14.14.-,0.998032236324125
rxn465,rxn465,s_0434 + s_0955 + s_0991 --> s_0423 + s_0633 + s_0987,rxn465,,6.3.2.1|6.3.2.12|6.3.2.17|6.3.2.2|6.3.2.3|6.3.2.5|6.3.2.6,0.9980316283145635
rxn480,rxn480,s_0208 + s_0794 + s_1193 + s_1212 --> s_0803 + s_1207 + sn_65,rxn480,2.7.1.121,1.5.1.10|1.5.1.15|1.5.1.2|1.5.1.20|1.5.1.3|1.5.1.39|1.5.1.53|1.5.1.7,0.9980316089729143
rxn1953,rxn1953,s_0066 + s_0978 --> s_1014 + s_1271,rxn1953,2.7.8.29,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9980294222431687
rxn55,rxn55,s_0794 + s_1212 + s_1275 + s_2829 --> s_0803 + s_1207 + sn_163,rxn55,2.4.1.38;2.4.1.90,1.14.14.154|1.14.14.17,0.998027155002862
rxn1579,rxn1579,s_0359 + s_0551 --> s_3814,rxn1579,1.1.1.-;1.1.1.117,4.1.2.-|4.1.2.13|4.1.2.27|4.1.2.48,0.9980227202809334
rxn3218,rxn3218,s_0794 + s_1212 + sn_237 --> s_1207 + s_1286,rxn3218,1.10.3.1;1.14.18.1,1.3.1.-|1.3.1.104|1.3.1.124|1.3.1.13|1.3.1.6|1.3.1.70|1.3.1.71|1.3.1.76|1.3.1.88|1.3.1.89|1.3.1.90|1.3.1.91|1.3.1.93|1.3.1.94|1.6.99.1|2.1.1.107|4.99.1.4,0.9980199622003418
rxn76,rxn76,s_0066 + s_0180 --> s_1271 + s_4182,rxn76,,1.1.2.4|1.1.99.40|1.14.13.-|3.5.-.-,0.9980185236302175
rxn610,rxn610,s_1275 + sn_41 --> s_0291 + s_0794 + s_0837,rxn610,,1.1.3.37,0.9980151164984032
rxn525,rxn525,s_0568 + s_0721 --> s_0775 + s_3852,rxn525,2.1.1.6;2.1.1.68,2.2.1.1|2.2.1.2|2.2.1.6,0.9980113215713373
rxn74,rxn74,s_1269 + sn_249 --> s_0061 + s_0154,rxn74,,1.3.5.1|1.3.98.1,0.998008998492746
rxn2111,rxn2111,s_0794 + s_1119 + s_1212 + s_1275 --> s_0803 + s_1131 + s_1207,rxn2111,2.4.1;2.4.1.-,1.14.11.-|1.14.13.-|1.14.13.9|1.14.14.-,0.99800890578049
