model_metabolite_id,primary_name,formula,charge,structure,structure_status,reason_code,status,source,review
s_0745,geranyl diphosphate,C10H17O7P2,-3,CC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0746,geranylgeranyl diphosphate,C20H33O7P2,-3,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0747,Gln-tRNA(Gln),C5H10N2O2R,1,,missing,generic_or_unparsable_formula_no_structure,unresolved,yeast-GEM-final.csv,not_reviewed
s_0748,Glu-tRNA(Glu),C5H8NO3R,0,,missing,generic_or_unparsable_formula_no_structure,unresolved,yeast-GEM-final.csv,not_reviewed
s_0749,Glu-tRNA(Glu),C5H8NO3R,0,,missing,generic_or_unparsable_formula_no_structure,unresolved,yeast-GEM-final.csv,not_reviewed
s_0750,glutathione,C10H16N3O6S,-1,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0751,glutathione,C10H16N3O6S,-1,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0752,glutathione,C10H16N3O6S,-1,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0753,glutathione,C10H16N3O6S,-1,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0754,glutathione disulfide,C20H30N6O12S2,-2,NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0755,glutathione disulfide,C20H30N6O12S2,-2,NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0756,glutathione disulfide,C20H30N6O12S2,-2,NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0757,Gly-tRNA(Gly),C2H5NOR,1,,missing,generic_or_unparsable_formula_no_structure,unresolved,yeast-GEM-final.csv,not_reviewed
s_0764,glyceraldehyde 3-phosphate,C3H5O6P,-2,O=CC(O)COP(=O)(O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0765,glycerol,C3H8O3,0,OCC(O)CO,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0766,glycerol,C3H8O3,0,OCC(O)CO,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0767,glycerol 3-phosphate,C3H7O6P,-2,O=P(O)(O)OCC(O)CO,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0769,glycerol 3-phosphate,C3H7O6P,-2,O=P(O)(O)OCC(O)CO,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0770,glycerol 3-phosphate,C3H7O6P,-2,O=P(O)(O)OCC(O)CO,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0771,glycerone,C3H6O3,0,O=C(CO)CO,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0773,glycogen,C6H10O5,0,,missing,mapped_source_has_no_structure,unresolved,yeast-GEM-final.csv,not_reviewed
s_0774,glycogen,C6H10O5,0,,missing,mapped_source_has_no_structure,unresolved,yeast-GEM-final.csv,not_reviewed
s_0775,glycolaldehyde,C2H4O2,0,O=CCO,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0776,glycolaldehyde,C2H4O2,0,O=CCO,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0777,glycolaldehyde,C2H4O2,0,O=CCO,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0779,glyoxylate,C2HO3,-1,O=CC(=O)[O-],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0780,glyoxylate,C2HO3,-1,O=CC(=O)[O-],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0781,glyoxylate,C2HO3,-1,O=CC(=O)[O-],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0782,GMP,C10H12N5O8P,-2,Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0783,GMP,C10H12N5O8P,-2,Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0785,GTP,C10H12N5O14P3,-4,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0786,GTP,C10H12N5O14P3,-4,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0787,guanine,C5H5N5O,0,Nc1nc2nc[nH]c2c(=O)[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0788,guanine,C5H5N5O,0,Nc1nc2nc[nH]c2c(=O)[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0789,guanine,C5H5N5O,0,Nc1nc2nc[nH]c2c(=O)[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0790,guanosine,C10H13N5O5,0,Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0791,guanosine,C10H13N5O5,0,Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0792,guanosine,C10H13N5O5,0,Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0793,H+,H,1,[H+],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0794,H+,H,1,[H+],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0795,H+,H,1,[H+],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0796,H+,H,1,[H+],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0797,H+,H,1,[H+],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0798,H+,H,1,[H+],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0799,H+,H,1,[H+],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0800,H+,H,1,[H+],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0801,H+,H,1,[H+],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0802,H+,H,1,[H+],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0803,H2O,H2O,0,O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0804,H2O,H2O,0,O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0805,H2O,H2O,0,O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0806,H2O,H2O,0,O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0807,H2O,H2O,0,O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0808,H2O,H2O,0,O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0809,H2O,H2O,0,O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0810,H2O,H2O,0,O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_0811,heme a,C49H55FeN4O6,-3,C=Cc1c(C)c2cc3nc(cc4[n-]c(cc5nc(cc1[n-]2)C(C)=C5CCC(=O)O)c(CCC(=O)O)c4C=O)C(C)=C3C(O)CCC=C(C)CCC=C(C)CCC=C(C)C.[Fe],parseable,not_applicable,available,yeast-GEM-final.csv,not_required
